type,time,latitude,longitude,altitude (m),speed (km/h),slope (%),distance (km),distance_interval (m),eos,name,desc
T,2022-01-21 08:33:06,48.284178082,8.845041518,526.8,59.2,-2.2,0.704,16.44,,,
T,2022-01-21 08:33:07,48.284203253,8.845263816,526.5,60.2,-2.1,0.721,16.73,,,
T,2022-01-21 08:33:08,48.284239419,8.845479280,526.0,59.4,-2.9,0.738,16.49,,,
T,2022-01-21 08:33:09,48.284293091,8.845679116,525.5,57.6,-2.8,0.754,15.99,,,
T,2022-01-21 08:33:10,48.284348190,8.845877646,525.1,57.4,-2.5,0.769,15.96,,,
T,2022-01-21 08:33:11,48.284407837,8.846070562,524.8,56.8,-2.5,0.785,15.78,,,
T,2022-01-21 08:33:12,48.284473302,8.846258324,524.3,56.6,-3.1,0.801,15.72,,,
T,2022-01-21 08:33:13,48.284535383,8.846448250,523.8,56.5,-2.9,0.817,15.69,,,
T,2022-01-21 08:33:14,48.284593542,8.846638119,523.4,55.8,-2.5,0.832,15.50,,,
T,2022-01-21 08:33:15,48.284652961,8.846821932,523.0,54.6,-2.5,0.847,15.16,,,
T,2022-01-21 08:33:16,48.284709835,8.847001663,522.7,53.1,-2.6,0.862,14.76,,,
T,2022-01-21 08:33:17,48.284765405,8.847178060,522.3,52.1,-2.2,0.877,14.48,,,
T,2022-01-21 08:33:18,48.284813033,8.847358255,522.1,51.8,-1.9,0.891,14.38,,,
T,2022-01-21 08:33:19,48.284858129,8.847538810,521.8,51.5,-2.2,0.905,14.31,,,
T,2022-01-21 08:33:20,48.284899920,8.847719171,521.4,51.0,-2.3,0.919,14.17,,,
T,2022-01-21 08:33:21,48.284936891,8.847897612,521.2,49.9,-1.9,0.933,13.87,,,
T,2022-01-21 08:33:22,48.284966669,8.848076079,520.9,49.1,-2.0,0.947,13.65,,,
T,2022-01-21 08:33:23,48.284989929,8.848253148,520.6,48.2,-2.5,0.960,13.39,,,
T,2022-01-21 08:33:24,48.285008724,8.848429805,520.3,47.8,-2.3,0.974,13.28,,,
T,2022-01-21 08:33:25,48.285024145,8.848604052,520.0,47.0,-2.1,0.987,13.04,,,
T,2022-01-21 08:33:26,48.285030393,8.848772551,519.8,45.1,-1.8,0.999,12.52,,,
T,2022-01-21 08:33:27,48.285031298,8.848934110,519.4,43.2,-2.6,1.011,11.99,,,
T,2022-01-21 08:33:28,48.285030164,8.849088323,519.1,41.2,-3.3,1.023,11.45,,,
T,2022-01-21 08:33:29,48.285022044,8.849232308,518.7,38.6,-3.2,1.033,10.72,,,
T,2022-01-21 08:33:30,48.284987463,8.849349689,518.4,34.3,-3.3,1.043,9.52,,,
T,2022-01-21 08:33:31,48.284982621,8.849452686,518.1,27.6,-3.8,1.051,7.66,,,
T,2022-01-21 08:33:32,48.284964117,8.849527835,517.9,21.4,-4.5,1.056,5.94,,,
T,2022-01-21 08:33:33,48.284940972,8.849581416,517.6,17.1,-5.2,1.061,4.74,,,
T,2022-01-21 08:33:34,48.284923353,8.849631985,517.4,15.2,-5.5,1.065,4.23,,,
T,2022-01-21 08:33:35,48.284912489,8.849680041,517.2,13.6,-6.0,1.069,3.77,,,
T,2022-01-21 08:33:36,48.284884050,8.849694982,516.9,12.1,-6.5,1.073,3.35,,,
T,2022-01-21 08:33:37,48.284877567,8.849735717,516.7,11.2,-6.9,1.076,3.11,,,
T,2022-01-21 08:33:38,48.284845015,8.849754054,516.5,13.9,-5.6,1.080,3.87,,,
T,2022-01-21 08:33:39,48.284804341,8.849781608,516.3,17.9,-4.5,1.085,4.96,,,
T,2022-01-21 08:33:40,48.284768577,8.849826328,516.1,18.6,-4.5,1.090,5.18,,,
T,2022-01-21 08:33:41,48.284724826,8.849864410,515.8,20.3,-4.2,1.095,5.63,,,
T,2022-01-21 08:33:42,48.284698071,8.849921142,515.6,18.6,-4.5,1.100,5.16,,,
T,2022-01-21 08:33:43,48.284695269,8.849992019,515.4,19.0,-4.0,1.106,5.27,,,
T,2022-01-21 08:33:44,48.284706835,8.850068681,515.2,21.0,-3.3,1.112,5.83,,,
T,2022-01-21 08:33:45,48.284732141,8.850146758,515.0,23.2,-2.6,1.118,6.44,,,
T,2022-01-21 08:33:46,48.284763326,8.850231549,514.9,25.9,-2.1,1.125,7.18,,,
T,2022-01-21 08:33:47,48.284810915,8.850314878,514.7,29.3,-1.7,1.133,8.14,,,
T,2022-01-21 08:33:48,48.284860358,8.850412681,514.6,32.8,-1.3,1.142,9.11,,,
T,2022-01-21 08:33:49,48.284914005,8.850515679,514.5,34.9,-1.1,1.152,9.70,,,
T,2022-01-21 08:33:50,48.284974091,8.850617687,514.4,36.3,-0.9,1.162,10.10,,,
T,2022-01-21 08:33:51,48.285042509,8.850716299,514.3,38.0,-1.2,1.173,10.56,,,
T,2022-01-21 08:33:52,48.285123178,8.850813488,514.1,41.4,-1.7,1.184,11.51,,,
T,2022-01-21 08:33:53,48.285212484,8.850901015,513.8,42.7,-2.1,1.196,11.87,,,
T,2022-01-21 08:33:54,48.285305436,8.850989820,513.6,44.1,-2.0,1.208,12.26,,,
T,2022-01-21 08:33:55,48.285403418,8.851074605,513.4,45.3,-1.6,1.221,12.58,,,
T,2022-01-21 08:33:56,48.285508170,8.851147583,513.3,46.2,-0.8,1.234,12.85,,,
T,2022-01-21 08:33:57,48.285596331,8.851256555,513.3,45.8,-0.1,1.247,12.71,,,
T,2022-01-21 08:33:58,48.285714788,8.851292801,513.3,48.4,0.2,1.260,13.44,,,
T,2022-01-21 08:33:59,48.285825865,8.851337862,513.3,46.1,0.3,1.273,12.80,,,
T,2022-01-21 08:34:00,48.285938455,8.851383709,513.4,46.7,0.2,1.286,12.97,,,
T,2022-01-21 08:34:01,48.286050901,8.851418708,513.4,46.0,0.2,1.299,12.77,,,
T,2022-01-21 08:34:02,48.286162588,8.851437771,513.4,45.0,0.2,1.311,12.50,,,
T,2022-01-21 08:34:03,48.286273396,8.851455127,513.5,44.6,0.5,1.323,12.39,,,
T,2022-01-21 08:34:04,48.286380601,8.851477687,513.6,43.3,1.1,1.335,12.04,,,
T,2022-01-21 08:34:05,48.286482678,8.851487135,513.8,40.9,1.8,1.347,11.37,,,
T,2022-01-21 08:34:06,48.286582249,8.851498087,514.0,40.0,1.8,1.358,11.10,,,
T,2022-01-21 08:34:07,48.286683940,8.851501198,514.2,40.7,1.6,1.369,11.31,,,
T,2022-01-21 08:34:08,48.286785993,8.851491364,514.4,40.9,1.4,1.381,11.37,,,
T,2022-01-21 08:34:09,48.286889083,8.851480028,514.5,41.4,1.5,1.392,11.49,,,
T,2022-01-21 08:34:10,48.286991684,8.851467403,514.7,41.2,1.6,1.404,11.45,,,
T,2022-01-21 08:34:11,48.287092750,8.851458557,514.9,40.5,1.7,1.415,11.26,,,
T,2022-01-21 08:34:12,48.287191668,8.851444473,515.1,39.8,2.0,1.426,11.05,,,
